xi,H,eta,rho
0.0669034,0.348331,2.16852,-0.202781
0.0574732,0.455518,0.986139,-0.578366
0.097016,0.300921,2.39175,-0.302337
0.0318805,0.19662,1.34252,-0.631699
0.146649,0.270866,3.51397,-0.469032
0.0812002,0.114087,0.73745,-0.469547
0.117281,0.0264723,2.09203,-0.372481
0.0995954,0.485855,2.59631,-0.104411
0.10958,0.464709,1.17258,-0.27031
0.0563877,0.44806,1.61287,-0.638103
0.074891,0.230098,3.71287,-0.603269
0.098917,0.334847,1.41802,-0.658467
0.133258,0.4927,1.61107,-0.13193
0.0772214,0.151681,3.75054,-0.671235
0.0946097,0.154309,3.82773,-0.196463
0.0223087,0.0901944,3.06108,-0.118435
0.0490943,0.230807,3.48433,-0.252499
0.0587677,0.471871,2.33362,-0.895998
0.0417301,0.451911,3.05998,-0.260703
0.0244844,0.153779,3.93973,-0.862094
0.0809785,0.484448,1.91902,-0.532132
0.0699501,0.203008,1.52559,-0.118678
0.109241,0.344102,2.50143,-0.876893
0.0586124,0.393507,1.26488,-0.808318
0.0521729,0.214839,2.85571,-0.577341
0.089629,0.0390765,0.340932,-0.665826
0.143393,0.0255736,2.72848,-0.857617
0.150583,0.496235,3.83323,-0.776872
0.0632838,0.367251,3.39336,-0.755073
0.105012,0.155423,1.2295,-0.556687
0.0433987,0.457819,1.47796,-0.146841
0.142743,0.36364,3.58911,-0.382362
0.0740415,0.225376,1.20677,-0.159849
0.0682479,0.0704194,0.641574,-0.397676
0.140665,0.461094,2.67037,-0.26381
0.0969521,0.145662,1.82359,-0.645999
0.0926619,0.269176,0.527613,-0.270439
0.024624,0.135712,3.40741,-0.436212
0.0978148,0.30003,2.98735,-0.61764
0.0592568,0.222258,3.21077,-0.810909
0.0723412,0.0406281,3.74647,-0.713856
0.0738919,0.298226,0.375578,-0.931765
0.106552,0.296626,1.45785,-0.667558
0.126203,0.450289,3.60041,-0.443661
0.0197624,0.280963,2.74191,-0.29641
0.125955,0.254374,2.98634,-0.713216
0.0391034,0.232962,0.822265,-0.555148
0.156248,0.370267,1.2033,-0.167124
0.156314,0.0423665,3.12836,-0.309988
0.0710383,0.159941,3.511,-0.467195
0.150295,0.0262716,3.08906,-0.619339
0.149726,0.0367577,2.69535,-0.290797
0.0111202,0.359945,3.70961,-0.68918
0.0994097,0.310092,2.14894,-0.487242
0.108112,0.24202,1.49216,-0.667999
0.02276,0.177958,0.932695,-0.169166
0.101699,0.347078,1.4705,-0.717293
0.0317037,0.150558,0.67217,-0.15477
0.0622535,0.364328,0.352993,-0.611895
0.0335833,0.340076,1.36855,-0.718162
0.138169,0.0522273,2.21841,-0.121893
0.0220092,0.0403298,2.06855,-0.74184
0.0785031,0.284311,3.29919,-0.668315
0.0983218,0.225364,3.58592,-0.588816
0.115443,0.439344,1.42883,-0.926975
0.033498,0.445473,2.7365,-0.12896
0.136728,0.3202,2.04051,-0.208535
0.0459006,0.0754711,2.52348,-0.689684
0.0815419,0.12048,2.34237,-0.315582
0.105678,0.361726,3.04297,-0.405244
0.0981063,0.403288,3.23837,-0.273461
0.0499612,0.0468564,1.19306,-0.931446
0.038463,0.139997,2.0835,-0.419595
0.112683,0.442335,2.67695,-0.91918
0.159615,0.179516,1.45155,-0.138449
0.0845372,0.240046,0.688783,-0.172315
0.1499,0.447092,3.05266,-0.364763
0.114591,0.298379,1.85338,-0.324927
0.0392351,0.338152,2.96493,-0.896389
0.118749,0.261244,0.657954,-0.73599
0.0231074,0.29965,1.54579,-0.720031
0.0559574,0.473851,3.955,-0.587927
0.0939661,0.0744374,2.25867,-0.143495
0.102166,0.482888,2.92653,-0.307428
0.121186,0.186384,0.952045,-0.647757
0.119122,0.144445,2.33837,-0.743156
0.149844,0.26863,3.97201,-0.239853
0.139521,0.372256,1.39079,-0.306242
0.156628,0.211168,2.01499,-0.433566
0.129176,0.48793,2.82424,-0.37108
0.143737,0.123466,2.80371,-0.474661
0.109745,0.260418,3.01556,-0.613466
0.0277062,0.430705,3.13892,-0.517853
0.0302228,0.0593664,3.86036,-0.517521
0.0520171,0.485787,3.61032,-0.383915
0.0766182,0.246882,1.46818,-0.771304
0.021335,0.269622,3.31536,-0.771893
0.115007,0.231543,1.44374,-0.63497
0.0720702,0.0539726,1.66013,-0.127247
0.137398,0.0811102,2.7821,-0.29585
0.0161065,0.451529,1.91883,-0.599772
0.148041,0.284245,1.46498,-0.891214
0.0961138,0.141079,0.714543,-0.198482
0.0286433,0.437421,0.893167,-0.558841
0.159704,0.257802,3.13646,-0.296675
0.121615,0.0886257,3.35923,-0.294529
0.149661,0.135382,2.68305,-0.844842
0.0293045,0.0595582,1.4013,-0.314795
0.106672,0.161943,1.00485,-0.482691
0.148179,0.0459078,1.80084,-0.847878
0.0903703,0.16759,1.81092,-0.3772
0.0500182,0.18894,0.798118,-0.518738
0.0720638,0.120303,2.70818,-0.484539
0.149421,0.0685708,0.490648,-0.509169
0.0443914,0.286276,2.74166,-0.547451
0.0378172,0.214044,3.58364,-0.207719
0.124007,0.116602,2.25179,-0.720906
0.0718079,0.499011,1.99355,-0.30708
0.110667,0.464299,3.53512,-0.434022
0.047744,0.487183,0.631535,-0.768831
0.115641,0.19425,3.8222,-0.200147
0.0499426,0.441499,3.22967,-0.239025
0.126057,0.297386,3.53527,-0.923793
0.0787619,0.124125,1.94012,-0.861186
0.0663026,0.0517768,2.56453,-0.708628
0.156723,0.170907,1.32581,-0.275154
0.157716,0.120521,2.67431,-0.308486
0.0212343,0.155827,1.45286,-0.80019
0.0652736,0.220906,3.04575,-0.691555
0.0346479,0.146965,3.57509,-0.588802
0.0455185,0.0577182,1.79354,-0.442675
0.151471,0.180279,3.14782,-0.522066
0.0372214,0.129751,0.665158,-0.304417
0.116455,0.100712,3.07854,-0.408959
0.10671,0.399614,1.33132,-0.892412
0.158164,0.0536593,3.54945,-0.104518
0.144729,0.19354,0.475729,-0.606246
0.0644836,0.0973345,0.98709,-0.519552
0.102541,0.467738,2.95803,-0.698371
0.100257,0.369747,2.38079,-0.726437
0.0518758,0.395219,3.18902,-0.868774
0.137407,0.417849,3.39489,-0.310475
0.117847,0.344766,1.29346,-0.67348
0.096612,0.168122,3.10951,-0.221999
0.12338,0.320161,1.37168,-0.613102
0.054792,0.392488,1.84364,-0.682079
0.107083,0.452979,1.54296,-0.126838
0.142869,0.476704,3.59244,-0.147584
0.157804,0.0699812,1.04235,-0.479565
0.03087,0.0419014,2.80576,-0.630823
0.0682254,0.325066,2.22272,-0.402974
0.0793874,0.120452,2.58532,-0.618106
0.158355,0.402884,2.99881,-0.129109
0.14631,0.0940819,2.94296,-0.326041
0.0391087,0.498357,3.97155,-0.525018
0.108791,0.142124,3.72171,-0.646906
0.0572533,0.327974,3.61192,-0.88378
0.0246844,0.319525,1.04364,-0.25124
0.0331584,0.133239,1.76339,-0.569574
0.0625581,0.185684,1.87997,-0.435037
0.064972,0.0334401,3.46583,-0.690519
0.153722,0.139331,3.29429,-0.882901
0.113269,0.379677,3.90705,-0.208024
0.0463797,0.33329,2.04008,-0.314602
0.0955635,0.0979517,1.09471,-0.287701
0.123981,0.277855,3.17087,-0.567787
0.0408249,0.287507,1.69941,-0.654637
0.04768,0.102164,1.29621,-0.76994
0.0222372,0.13535,2.05274,-0.28813
0.0888875,0.264138,1.99413,-0.888765
0.0875682,0.337645,2.58596,-0.500526
0.123361,0.247856,1.51361,-0.610794
0.118797,0.411281,0.390639,-0.199868
0.0258059,0.273897,3.85804,-0.705744
0.142918,0.403714,3.45332,-0.759113
0.127224,0.242146,2.27882,-0.717823
0.130332,0.465558,2.97412,-0.836348
0.0120457,0.105719,1.92169,-0.879579
0.0158833,0.277318,1.72058,-0.466565
0.0805971,0.282612,2.79198,-0.560549
0.110082,0.410348,2.08956,-0.152811
0.052968,0.387838,3.6066,-0.645899
0.0568766,0.185114,0.624393,-0.653747
0.0745353,0.402295,3.39735,-0.118982
0.148644,0.213211,2.025,-0.222552
0.050002,0.439671,3.08437,-0.549072
0.159978,0.472974,0.321139,-0.221617
0.154276,0.0559313,3.04112,-0.443759
0.116742,0.322987,2.27934,-0.228678
0.108595,0.268432,3.78168,-0.48916
0.146281,0.466803,0.985609,-0.323845
0.0660173,0.128611,3.08653,-0.388867
0.0563229,0.371751,2.02786,-0.288514
0.0212382,0.174944,2.21326,-0.590158
0.0166702,0.42783,2.04924,-0.154252
0.152405,0.161195,1.05983,-0.186168
0.0554317,0.398139,2.57931,-0.924849
0.122346,0.302704,2.4305,-0.41445
0.0329114,0.119943,1.91932,-0.250395
0.0962708,0.244949,1.82825,-0.710401
0.056096,0.489352,2.54347,-0.510234
0.0478851,0.385758,2.87788,-0.428558
0.0288561,0.35728,3.89238,-0.227074
0.0618271,0.486396,0.747749,-0.432226
0.0828692,0.305724,3.84373,-0.633559
0.0770105,0.364921,0.495183,-0.830766
0.12565,0.0818696,0.364482,-0.526243
0.0511061,0.391727,3.68219,-0.756734
0.122963,0.467167,1.61857,-0.173912
0.114159,0.416087,3.11297,-0.772872
0.0673513,0.127581,3.73912,-0.49915
0.0871937,0.075733,2.57599,-0.371507
0.0785297,0.0594009,1.9512,-0.755695
0.110565,0.187442,0.591959,-0.678948
0.136763,0.387199,1.82549,-0.298652
0.156798,0.122078,2.53457,-0.214264
0.0669492,0.253809,1.98631,-0.11712
0.0812327,0.479547,1.74353,-0.362359
0.109901,0.19892,3.15051,-0.538256
0.0656819,0.430715,1.09353,-0.564919
0.0158803,0.212494,3.00519,-0.766199
0.121569,0.136854,1.55715,-0.368079
0.101145,0.0929542,1.70327,-0.663602
0.0615181,0.15306,2.11724,-0.629181
0.0640952,0.490808,0.719625,-0.526503
0.0731478,0.0520745,2.34251,-0.602495
0.118171,0.0947028,3.10568,-0.723698
0.078082,0.0574391,1.58864,-0.427896
0.0441147,0.382799,3.38807,-0.611382
0.0438713,0.282458,3.00552,-0.810645
0.070974,0.476774,3.81425,-0.171645
0.0265371,0.412415,3.87475,-0.483851
0.112237,0.337142,1.62316,-0.935047
0.046302,0.474027,1.00119,-0.822666
0.0656942,0.0701836,2.70302,-0.8783
0.0827413,0.0850932,3.12315,-0.651222
0.139004,0.310856,2.47229,-0.908061
0.132188,0.258406,3.94953,-0.769334
0.0982709,0.208013,2.29299,-0.142038
0.0733414,0.0272551,0.518526,-0.13511
0.0635208,0.463869,0.970128,-0.572078
0.0158571,0.0649986,1.74106,-0.667499
0.101795,0.142617,1.4764,-0.75048
0.0428175,0.143656,2.2032,-0.710175
0.0115247,0.204398,3.32427,-0.817126
0.150737,0.309141,3.30719,-0.369768
0.0706182,0.425738,0.467469,-0.450609
0.0884663,0.108506,2.43361,-0.405893
0.0955059,0.0294453,2.20711,-0.91271
0.144723,0.0466966,3.70339,-0.30453
0.137329,0.240269,0.675904,-0.437352
0.0587498,0.274481,1.70611,-0.36456
0.0160026,0.488791,2.36388,-0.229954
0.12459,0.286998,0.369057,-0.662757
0.0754799,0.268376,0.709349,-0.127811
0.0821961,0.265466,1.83635,-0.692952
0.0655078,0.132436,0.785987,-0.125399
0.103271,0.470356,1.03256,-0.67689
0.0484851,0.214803,3.09533,-0.657735
0.115949,0.215234,1.11869,-0.354472
0.0735552,0.431355,2.20915,-0.425874
0.104941,0.492717,3.65564,-0.411334
0.116696,0.442616,3.07297,-0.591369
0.0246883,0.424471,3.11929,-0.654278
0.141881,0.411638,1.85951,-0.918047
0.104536,0.300984,1.8264,-0.620023
0.125693,0.306093,2.20619,-0.575947
0.0452446,0.48416,3.91056,-0.805626
0.156205,0.151488,1.86293,-0.632674
0.0412959,0.429989,1.79363,-0.313028
0.0187696,0.0718245,1.15661,-0.251004
0.0864698,0.151019,3.4192,-0.470356
0.142324,0.337609,3.68451,-0.529929
0.0192248,0.2651,1.36562,-0.431185
0.137297,0.0988013,3.23827,-0.108311
0.0665741,0.093589,2.04807,-0.615941
0.114444,0.281446,3.56312,-0.29016
0.158465,0.392344,2.57651,-0.179266
0.086181,0.383739,0.448059,-0.53788
0.0275713,0.0969611,1.42502,-0.170037
0.112945,0.245255,2.35015,-0.938605
0.147272,0.213702,1.34656,-0.462509
0.0995229,0.421124,3.72823,-0.752611
0.128816,0.411839,3.8076,-0.197081
0.025479,0.0268335,1.23941,-0.195532
0.14314,0.0513187,0.627372,-0.514663
0.131785,0.364547,3.02429,-0.796793
0.137561,0.0450217,1.1893,-0.33174
0.155722,0.0574203,1.22409,-0.29331
0.0744735,0.395676,3.23443,-0.371654
0.126083,0.302897,3.74607,-0.318291
0.149416,0.205714,0.939383,-0.214607
0.146561,0.392299,2.99815,-0.131856
0.0777747,0.287668,2.66528,-0.703911
0.114502,0.0743532,2.54126,-0.679135
0.123616,0.172985,1.96382,-0.260465
0.10308,0.450264,3.85563,-0.259869
0.107016,0.0981228,1.98992,-0.414666
0.0988132,0.278518,3.31494,-0.221428
0.0248209,0.284392,2.17113,-0.605222
0.0646427,0.387866,3.39375,-0.363189
0.0772723,0.414927,3.22168,-0.772807
0.113631,0.38189,3.03185,-0.762786
0.157056,0.125471,0.408737,-0.802928
0.148724,0.294439,2.56912,-0.538909
0.0904683,0.109891,0.54708,-0.670833
0.0635356,0.464917,3.73536,-0.411378
0.0490379,0.211348,1.48487,-0.596569
0.050226,0.482145,1.94778,-0.55208
0.111393,0.491042,0.768693,-0.747131
0.0326073,0.163112,0.649007,-0.197479
0.114396,0.324203,1.33111,-0.181138
0.126271,0.30479,1.62017,-0.666794
0.106547,0.412101,1.68753,-0.505535
0.0980683,0.267845,0.377152,-0.125376
0.091699,0.132057,3.26467,-0.720871
0.12904,0.27004,2.51646,-0.29828
0.0460041,0.260954,2.88689,-0.356586
0.144729,0.390972,3.94945,-0.914214
0.0339245,0.0353084,0.76525,-0.566946
0.125539,0.163508,1.57028,-0.289854
0.0222312,0.0898054,3.32415,-0.246236
0.031488,0.190636,3.47491,-0.530271
0.0899081,0.436196,3.23685,-0.245295
0.0978167,0.130127,2.46213,-0.600261
0.0377108,0.139397,1.90941,-0.402891
0.0971904,0.455599,3.42474,-0.573363
0.117519,0.303985,3.60175,-0.271454
0.0632017,0.220786,2.97482,-0.482398
0.0314468,0.266667,1.41822,-0.667633
0.0878698,0.129854,2.59266,-0.334462
0.155164,0.359234,0.551325,-0.168848
0.107069,0.157777,1.48389,-0.165268
0.0193337,0.230149,3.95649,-0.691096
0.147959,0.265716,2.26178,-0.704584
0.133972,0.0949662,3.92979,-0.450309
0.0702767,0.478433,3.19085,-0.100159
0.109377,0.150435,1.24259,-0.516348
0.0753897,0.178317,2.55288,-0.672966
0.0134449,0.220712,1.50878,-0.419071
0.154859,0.45888,3.88039,-0.226407
0.156769,0.108341,1.02659,-0.72987
0.0807948,0.284912,2.42882,-0.25265
0.120825,0.0822053,2.66967,-0.636135
0.153458,0.0865274,0.563668,-0.620402
0.0909555,0.456579,3.46973,-0.635743
0.108782,0.125528,1.8216,-0.496833
0.153079,0.03915,1.2437,-0.439954
0.0682009,0.400031,0.466823,-0.262712
0.0808285,0.207018,3.35096,-0.374422
0.10824,0.389086,2.13148,-0.770893
0.0963106,0.315018,2.32276,-0.724207
0.0938487,0.130089,1.99078,-0.913883
0.0755641,0.349797,1.67515,-0.598573
0.0434157,0.136315,2.24743,-0.88233
0.0266206,0.239929,1.11693,-0.56983
0.0760579,0.113285,2.61679,-0.879013
0.062286,0.44799,1.54066,-0.230365
0.149867,0.0590822,3.99683,-0.301627
0.032256,0.194052,3.28346,-0.890226
0.154374,0.429203,3.18781,-0.400469
0.106151,0.482007,1.78593,-0.484137
0.0539534,0.208057,2.67878,-0.783579
0.0796435,0.373282,2.56909,-0.599614
0.138347,0.158539,2.16697,-0.915507
0.0395338,0.404637,3.91882,-0.697055
0.0180804,0.40259,2.89063,-0.511082
0.117409,0.299411,0.705675,-0.880912
0.0678589,0.486084,0.910826,-0.766008
0.120328,0.362997,2.43945,-0.907786
0.0784709,0.439998,1.28662,-0.2604
0.118433,0.174494,3.91232,-0.163923
0.0709694,0.34804,3.85017,-0.602169
0.0506294,0.0648985,1.02995,-0.391356
0.150927,0.188312,1.62064,-0.270426
0.0393684,0.13806,1.02336,-0.743957
0.114827,0.387762,2.37346,-0.22332
0.137931,0.360526,3.82395,-0.915149
0.151096,0.250518,0.454161,-0.560906
0.0168592,0.24438,2.60271,-0.841693
0.0884899,0.316578,0.711159,-0.202951
0.117462,0.480078,1.15001,-0.524533
0.158837,0.161505,0.638916,-0.739116
0.0593117,0.410735,3.71939,-0.705645
0.0782142,0.322055,1.30905,-0.217561
0.111975,0.375104,3.72159,-0.206381
0.091981,0.313456,1.82932,-0.739981
0.124387,0.427793,3.68882,-0.719978
0.0806973,0.134123,1.95839,-0.114102
0.0806953,0.0798731,1.17519,-0.934544
0.100763,0.330949,3.54888,-0.581477
0.0519885,0.295066,1.23547,-0.524154
0.0919493,0.199977,1.04019,-0.224077
0.127618,0.135778,2.38453,-0.254592
0.145629,0.489299,1.58475,-0.825646
0.143113,0.24903,0.676916,-0.30676
0.0303664,0.405846,1.44134,-0.113229
0.0251056,0.0392571,2.38343,-0.322897
0.0264543,0.0509719,2.79686,-0.857403
0.133729,0.417284,1.12448,-0.497944
0.125304,0.285525,0.954264,-0.31481
0.150702,0.37536,0.479712,-0.756253
0.137616,0.452935,3.5568,-0.850912
0.157106,0.475091,1.32972,-0.88966
0.107227,0.379019,2.65836,-0.404775
0.100384,0.411932,3.14528,-0.230487
0.118507,0.0713952,2.18378,-0.320759
0.082725,0.464165,0.578486,-0.747507
0.133048,0.0287588,1.32184,-0.224104
0.109549,0.298331,0.750448,-0.709071
0.0805026,0.0860822,3.07016,-0.933906
0.0925778,0.0389395,1.25289,-0.123762
0.0966433,0.107117,0.331662,-0.137339
0.0789797,0.224343,2.00307,-0.877977
0.0633014,0.44352,3.57085,-0.355488
0.0281701,0.189003,3.75292,-0.897033
0.0126323,0.151382,1.41217,-0.253689
0.103852,0.327593,1.77239,-0.725866
0.0550836,0.277777,1.29551,-0.778424
0.0291071,0.437636,2.34689,-0.217282
0.0293905,0.0716087,2.67763,-0.862289
0.0895348,0.158507,3.83236,-0.336251
0.0805079,0.153813,3.79081,-0.780862
0.0447378,0.408755,0.794467,-0.465267
0.0328453,0.332002,2.46824,-0.501447
0.0705228,0.36803,3.03929,-0.372856
0.153949,0.274281,2.31697,-0.639377
0.0828926,0.312932,0.674187,-0.684417
0.0929329,0.230767,1.22571,-0.435318
0.108623,0.317,2.90357,-0.36601
0.0655561,0.299872,1.94085,-0.16963
0.144466,0.10581,3.81362,-0.38444
0.156496,0.0271328,3.18682,-0.3492
0.0496306,0.164799,3.81978,-0.503127
0.0613589,0.128154,0.916787,-0.580509
0.114384,0.494493,1.89105,-0.235158
0.0696595,0.128346,1.55776,-0.476425
0.154424,0.18613,1.698,-0.598239
0.0820837,0.401866,3.61636,-0.242471
0.0793205,0.141058,1.02776,-0.683499
0.0330062,0.371926,1.32062,-0.34895
0.124901,0.14687,0.423327,-0.752698
0.0439834,0.31344,2.82301,-0.842689
0.15087,0.272296,2.66171,-0.826449
0.142858,0.16247,0.460592,-0.428441
0.0323854,0.235157,0.597656,-0.476435
0.146607,0.148089,3.76436,-0.116215
0.0112669,0.101539,3.52565,-0.552294
0.0782336,0.286353,1.41587,-0.651649
0.0630709,0.255231,3.94423,-0.464942
0.104322,0.293851,0.396643,-0.849207
0.111353,0.0590739,3.69056,-0.64599
0.0225368,0.0453701,2.27293,-0.199165
0.0675493,0.445286,3.91245,-0.567254
0.0779283,0.366739,3.72262,-0.125427
0.153304,0.334465,1.87827,-0.315777
0.0672961,0.220543,1.35417,-0.40378
0.0776343,0.424094,0.666819,-0.674833
0.120144,0.363114,1.67834,-0.241216
0.120051,0.314347,3.73883,-0.198745
0.0944723,0.214424,1.97433,-0.534396
0.0585217,0.470869,2.73102,-0.122519
0.0417635,0.342718,0.600365,-0.177976
0.0598356,0.0844148,2.10757,-0.935332
0.0953899,0.438116,1.16552,-0.576527
0.11101,0.267386,3.76388,-0.731815
0.133109,0.49866,2.01439,-0.542701
0.105093,0.097225,2.33257,-0.804027
0.139124,0.346647,1.06283,-0.347941
0.0480958,0.0984936,3.59899,-0.397124
0.157048,0.381285,0.463397,-0.587046
0.149709,0.0879457,0.440124,-0.548634
0.125807,0.499261,0.81717,-0.292699
0.136779,0.309081,2.60215,-0.64444
0.152816,0.0898988,3.435,-0.619114
0.0653141,0.0721026,3.84622,-0.203307
0.0146444,0.453795,2.48994,-0.367912
0.155673,0.198223,1.05862,-0.836485
0.0480411,0.0891773,2.38755,-0.87577
0.0254101,0.400786,1.19667,-0.570021
0.158381,0.439638,1.70469,-0.543515
0.0802869,0.371446,0.855443,-0.85605
0.0665414,0.0465867,1.9505,-0.271562
0.0584936,0.493001,2.53634,-0.340312
0.0251977,0.0265207,2.58019,-0.564269
0.136058,0.36955,1.62987,-0.537099
0.118506,0.483557,3.18905,-0.19719
0.140528,0.162452,3.54053,-0.653465
0.115608,0.431263,3.09296,-0.294859
0.0835928,0.463231,0.931297,-0.921452
0.117481,0.444079,2.16166,-0.412031
0.126022,0.0444517,3.06894,-0.530813
0.0937301,0.377406,3.39177,-0.531167
0.0809138,0.172431,2.23886,-0.139219
0.144728,0.295597,1.23501,-0.485527
0.124819,0.433376,0.992527,-0.161776
0.117128,0.249411,3.08552,-0.245197
0.0783937,0.496052,2.01349,-0.880549
0.156327,0.356551,2.81765,-0.109683
0.056293,0.311668,2.0058,-0.218751
0.0420108,0.119435,1.1313,-0.691649
0.0533185,0.138949,0.347543,-0.610333
0.142232,0.0284614,2.36547,-0.288493
0.0275113,0.116698,0.922122,-0.569635
0.112405,0.137379,0.355109,-0.439772
0.130429,0.396222,0.511812,-0.20251
0.062768,0.0669,3.14896,-0.66499
0.155657,0.423227,3.72187,-0.78157
0.103078,0.449376,3.68023,-0.453419
0.0787411,0.356178,3.12712,-0.50426
0.0748958,0.396344,1.52479,-0.654225
0.0222182,0.164597,1.05636,-0.600348
0.0971526,0.299394,3.97358,-0.852337
0.0202451,0.0856974,3.29145,-0.908888
0.102849,0.199301,0.592992,-0.194622
0.0479436,0.426999,2.94394,-0.292269
0.0460832,0.301382,2.63767,-0.248544
0.0855703,0.466895,2.28552,-0.427198
0.0565762,0.199035,3.63251,-0.735035
0.0787896,0.0982773,3.49119,-0.2534
0.0951068,0.317223,3.92671,-0.524893
0.103872,0.440759,2.7599,-0.672732
0.0749494,0.155257,3.78801,-0.761496
